# bench/results/alloc.csv — 分配器基准 (fat vs raw)
# scale: full  runs: 7  pin: 4  commit: 641657c  date: 2026-09-23
name,fat_min_ms,raw_min_ms,ratio_fat_raw,fat_rss_mb,raw_rss_mb,stdout_match,scale
churn_mixed,24.6,59.0,0.417,1.1,1.1,yes,默认
churn_single,22.0,47.1,0.468,1.3,1.3,yes,默认
grow_free,24.9,158.2,0.157,18.4,17.1,yes,默认
grow_varied,139.2,138.9,1.002,64.4,32.9,yes,默认
